metodo,query,esperados,top3,top5_scores,precision_at_3,recall_at_3,mrr
Sentence-BERT,"aprendizado de maquina, redes neurais, avaliacao de modelos",DCC043|EEEXXA|EEEXXB,EEEXXA|DCC043|EEEXXB,EEEXXA:0.6876|DCC043:0.6256|EEEXXB:0.5928|ELT135:0.5754|MAT038:0.5508,1.0,1.0,1.0
TF-IDF,"aprendizado de maquina, redes neurais, avaliacao de modelos",DCC043|EEEXXA|EEEXXB,EEEXXA|DCC043|DCC212,EEEXXA:0.4789|DCC043:0.1600|DCC212:0.1210|ELE077:0.1151|DCC057:0.1133,0.6666666666666666,0.6666666666666666,1.0
Sentence-BERT,"SQL, modelagem relacional, data warehouse e consultas em banco de dados",DCC011|DCC189|DCC212,DCC011|DCC189|DCC205,DCC011:0.7729|DCC189:0.6151|DCC205:0.5947|DCC212:0.5813|DCC057:0.5537,0.6666666666666666,0.6666666666666666,1.0
TF-IDF,"SQL, modelagem relacional, data warehouse e consultas em banco de dados",DCC011|DCC189|DCC212,DCC011|DCC189|DCC212,DCC011:0.3862|DCC189:0.2277|DCC212:0.1606|DCC057:0.1373|DCC204:0.0874,1.0,1.0,1.0
Sentence-BERT,"estatistica, regressao, probabilidade e analise multivariada",EST011|EST035|EST773,EST773|EST035|EST011,EST773:0.7056|EST035:0.6323|EST011:0.6183|MAT039:0.5330|DCC212:0.5322,1.0,1.0,1.0
TF-IDF,"estatistica, regressao, probabilidade e analise multivariada",EST011|EST035|EST773,EST773|EST011|EST035,EST773:0.2871|EST011:0.2047|EST035:0.1776|DCC212:0.0439|EEEXXA:0.0410,1.0,1.0,1.0
Sentence-BERT,"algoritmos, complexidade, grafos e estruturas discretas",DCC206|DCC207|DCCXXA,DCC207|DCC206|DCCXXA,DCC207:0.7594|DCC206:0.7594|DCCXXA:0.7539|DCC205:0.6736|MAT038:0.5963,1.0,1.0,1.0
TF-IDF,"algoritmos, complexidade, grafos e estruturas discretas",DCC206|DCC207|DCCXXA,DCC206|DCCXXA|DCC205,DCC206:0.1972|DCCXXA:0.1959|DCC205:0.1841|DCC207:0.1654|DCC203:0.0888,0.6666666666666666,0.6666666666666666,1.0
Sentence-BERT,"programacao orientada a objetos, estruturas de dados e desenvolvimento de software",DCC024|DCC204|DCC205,DCC204|DCC205|DCCXXX,DCC204:0.8456|DCC205:0.6873|DCCXXX:0.6854|DCC203:0.6673|DCC011:0.6232,0.6666666666666666,0.6666666666666666,1.0
TF-IDF,"programacao orientada a objetos, estruturas de dados e desenvolvimento de software",DCC024|DCC204|DCC205,DCC204|DCC203|DCC205,DCC204:0.4370|DCC203:0.3289|DCC205:0.2200|DCC212:0.1653|DCC057:0.1439,0.6666666666666666,0.6666666666666666,1.0
Sentence-BERT,"visao computacional, processamento de imagens, reconhecimento de padroes",DCC029|DCC043|ELT135,DCC029|DCC043|DCC206,DCC029:0.6467|DCC043:0.6445|DCC206:0.5849|DCC189:0.5389|DCCXXX:0.5243,0.6666666666666666,0.6666666666666666,1.0
TF-IDF,"visao computacional, processamento de imagens, reconhecimento de padroes",DCC029|DCC043|ELT135,DCC043|ELT135|DCC029,DCC043:0.3051|ELT135:0.2846|DCC029:0.2393|ELTXXA:0.2336|DCC057:0.1503,1.0,1.0,1.0
Sentence-BERT,"robotica, sensores, controle e sistemas autonomos",DCC041|ELEXXM|ELTXXA,DCC041|EEEXXB|ELTXXA,DCC041:0.8005|EEEXXB:0.5653|ELTXXA:0.5333|DCC204:0.4594|DCC043:0.4511,0.6666666666666666,0.6666666666666666,1.0
TF-IDF,"robotica, sensores, controle e sistemas autonomos",DCC041|ELEXXM|ELTXXA,DCC041|ELTXXA|DCC203,DCC041:0.2557|ELTXXA:0.1868|DCC203:0.0643|DCCXXX:0.0429|DCC011:0.0343,0.6666666666666666,0.6666666666666666,1.0
Sentence-BERT,"otimizacao, programacao linear, decisao e pesquisa operacional",ELE077|ELE082|ELE088,DCC203|DCC205|EEEXXA,DCC203:0.6857|DCC205:0.6748|EEEXXA:0.6656|DCC206:0.6571|ELE082:0.6436,0.0,0.0,0.2
TF-IDF,"otimizacao, programacao linear, decisao e pesquisa operacional",ELE077|ELE082|ELE088,ELE082|ELE077|ELE088,ELE082:0.3501|ELE077:0.1173|ELE088:0.0962|MAT038:0.0733|DCC203:0.0569,1.0,1.0,1.0
Sentence-BERT,"mineracao de dados, ciencia dos dados e descoberta de conhecimento",DCC057|DCC212|EST773,DCC057|DCC212|DCC011,DCC057:0.7364|DCC212:0.6951|DCC011:0.6245|DCC189:0.6155|DCC205:0.5691,0.6666666666666666,0.6666666666666666,1.0
TF-IDF,"mineracao de dados, ciencia dos dados e descoberta de conhecimento",DCC057|DCC212|EST773,DCC057|DCC212|EST773,DCC057:0.4193|DCC212:0.3026|EST773:0.2133|DCC011:0.1551|DCC189:0.1284,1.0,1.0,1.0
Sentence-BERT,"sinais, filtros, sistemas dinamicos e processamento digital",DCC029|ELEXXM|ELTXXA,ELEXXM|ELTXXA|DCC029,ELEXXM:0.6705|ELTXXA:0.6611|DCC029:0.5115|DCC203:0.4924|DCCXXX:0.4744,1.0,1.0,1.0
TF-IDF,"sinais, filtros, sistemas dinamicos e processamento digital",DCC029|ELEXXM|ELTXXA,ELEXXM|ELTXXA|DCC029,ELEXXM:0.3124|ELTXXA:0.2902|DCC029:0.0996|MAT040:0.0412|DCCXXX:0.0289,1.0,1.0,1.0
Sentence-BERT,"linguagens de programacao, paradigmas, semantica e sistemas de tipos",DCC024|DCC205|DCC206,DCC024|DCC204|DCC203,DCC024:0.8683|DCC204:0.6089|DCC203:0.5654|DCCXXX:0.5399|DCC206:0.4585,0.3333333333333333,0.3333333333333333,1.0
TF-IDF,"linguagens de programacao, paradigmas, semantica e sistemas de tipos",DCC024|DCC205|DCC206,DCC024|DCC203|DCC204,DCC024:0.5710|DCC203:0.1412|DCC204:0.1179|ELE082:0.0973|ELT135:0.0746,0.3333333333333333,0.3333333333333333,1.0
Sentence-BERT,"programacao, banco de dados, estruturas de dados e sistemas computacionais",DCC011|DCC204|DCC205,DCCXXX|DCC205|DCC189,DCCXXX:0.7674|DCC205:0.7406|DCC189:0.6818|DCC203:0.6767|DCC011:0.6753,0.3333333333333333,0.3333333333333333,0.5
TF-IDF,"programacao, banco de dados, estruturas de dados e sistemas computacionais",DCC011|DCC204|DCC205,DCC203|DCC011|DCC205,DCC203:0.2853|DCC011:0.2759|DCC205:0.2690|DCC204:0.2360|DCC212:0.2330,0.6666666666666666,0.6666666666666666,0.5
Sentence-BERT,"organizacao de computadores, memoria, processador e sistemas operacionais",DCC204|DCC205|DCCXXX,DCCXXX|DCC203|DCC189,DCCXXX:0.8610|DCC203:0.5416|DCC189:0.4563|DCC204:0.4544|DCC205:0.4384,0.3333333333333333,0.3333333333333333,1.0
TF-IDF,"organizacao de computadores, memoria, processador e sistemas operacionais",DCC204|DCC205|DCCXXX,DCCXXX|ELTXXA|DCC024,DCCXXX:0.3219|ELTXXA:0.0536|DCC024:0.0519|DCC204:0.0490|ELE082:0.0395,0.3333333333333333,0.3333333333333333,1.0
